Filename,Path,Size (Bytes),System_Created,SHA-256,EXIF_Data
headers_advancedrealestate.com_wp-admin.txt,/data/data/com.termux/files/home/osintneoai/evidence/endpoint_captures/headers_advancedrealestate.com_wp-admin.txt,140,2026-08-08 17:25:56,8c7de7fbba466723fd2a038528ad1baf14a289bcd87f4f56597f24c754f344b2,Install Pillow (pip install Pillow) for EXIF extraction
headers_anaheim.net_.txt,/data/data/com.termux/files/home/osintneoai/evidence/endpoint_captures/headers_anaheim.net_.txt,940,2026-08-08 17:25:56,80df8e079332c61d49e1e7be174ea34c2b00d0d4ef6f25049383ebfbfa1ebc7d,Install Pillow (pip install Pillow) for EXIF extraction
headers_anaheim.net_wp-admin.txt,/data/data/com.termux/files/home/osintneoai/evidence/endpoint_captures/headers_anaheim.net_wp-admin.txt,123,2026-08-08 17:25:56,a236459557aefc02eaf96b1706092de6584cc903163b81c04f4ed966ce533559,Install Pillow (pip install Pillow) for EXIF extraction
headers_anaheimpd.org_.txt,/data/data/com.termux/files/home/osintneoai/evidence/endpoint_captures/headers_anaheimpd.org_.txt,81,2026-08-08 17:25:56,a0a86433ebd5d431edb70b379d0aa5fdf06639b4206e78a7f4561f42d2e14722,Install Pillow (pip install Pillow) for EXIF extraction
headers_anaheimpd.org_wp-admin.txt,/data/data/com.termux/files/home/osintneoai/evidence/endpoint_captures/headers_anaheimpd.org_wp-admin.txt,89,2026-08-08 17:25:56,0b0018376f5cac11f7bdc532e07cdd00d6f44b8aeefe287d9977a30ef7ba2adc,Install Pillow (pip install Pillow) for EXIF extraction
headers_apcommunities.com_.txt,/data/data/com.termux/files/home/osintneoai/evidence/endpoint_captures/headers_apcommunities.com_.txt,85,2026-08-08 17:25:56,014e379e2e90b3de19c843b25bbcdb0b8f7e4d67a073208e1a2b5f532b8dfbfd,Install Pillow (pip install Pillow) for EXIF extraction
headers_apcommunities.com_wp-admin.txt,/data/data/com.termux/files/home/osintneoai/evidence/endpoint_captures/headers_apcommunities.com_wp-admin.txt,93,2026-08-08 17:25:56,fc5eb83b223acff3d4770f798367fea721f2c0b1f4eb9eab813ba9272ab3f00e,Install Pillow (pip install Pillow) for EXIF extraction
headers_atlanticpacific.com_.txt,/data/data/com.termux/files/home/osintneoai/evidence/endpoint_captures/headers_atlanticpacific.com_.txt,295,2026-08-08 17:25:56,1ed37650d3376eeeb5e2b601263fddf631f3be93eb2749e6da865343f44bf8a1,Install Pillow (pip install Pillow) for EXIF extraction
headers_atlanticpacific.com_wp-admin.txt,/data/data/com.termux/files/home/osintneoai/evidence/endpoint_captures/headers_atlanticpacific.com_wp-admin.txt,137,2026-08-08 17:25:56,5d5a3a111fbfeb2aa8465af528a36c47f36ad81528771ec7c2ea274c555059f9,Install Pillow (pip install Pillow) for EXIF extraction
headers_atlanticpacificcommunities.com_.txt,/data/data/com.termux/files/home/osintneoai/evidence/endpoint_captures/headers_atlanticpacificcommunities.com_.txt,188,2026-08-08 17:25:56,680d703afce53084e1f2d2b1cc7719f47daab728986a31a9089256a03f043abe,Install Pillow (pip install Pillow) for EXIF extraction
headers_atlanticpacificcommunities.com_wp-admin.txt,/data/data/com.termux/files/home/osintneoai/evidence/endpoint_captures/headers_atlanticpacificcommunities.com_wp-admin.txt,196,2026-08-08 17:25:56,a0bf66a024d53538c641f9faafd41873a09bbf8aa0655544b3fa67f6f8adeb05,Install Pillow (pip install Pillow) for EXIF extraction
headers_carlisledev.com_.txt,/data/data/com.termux/files/home/osintneoai/evidence/endpoint_captures/headers_carlisledev.com_.txt,173,2026-08-08 17:25:56,fa0203d7317d2fb5454b0e37b1d53c19c83efc376e67f60dd4d858724bbe4cb9,Install Pillow (pip install Pillow) for EXIF extraction
headers_carlisledev.com_admin.txt,/data/data/com.termux/files/home/osintneoai/evidence/endpoint_captures/headers_carlisledev.com_admin.txt,178,2026-08-08 17:25:56,3d3ca9cceebb8b549aa081f0fa9931a934f2559f3349c7adb55dc23403711d13,Install Pillow (pip install Pillow) for EXIF extraction
headers_carlisledev.com_wp-admin.txt,/data/data/com.termux/files/home/osintneoai/evidence/endpoint_captures/headers_carlisledev.com_wp-admin.txt,181,2026-08-08 17:25:56,18a413a4931731905b3c299db58b590fd92fd24365519057ec813692d06b26bc,Install Pillow (pip install Pillow) for EXIF extraction
headers_carlisledevelopment.com_.txt,/data/data/com.termux/files/home/osintneoai/evidence/endpoint_captures/headers_carlisledevelopment.com_.txt,639,2026-08-08 17:25:56,fbb11afef713896e2bbcd59a34bd63411caa61c2012a6cf9084f43430217280f,Install Pillow (pip install Pillow) for EXIF extraction
headers_carlisledevelopment.com_wp-admin.txt,/data/data/com.termux/files/home/osintneoai/evidence/endpoint_captures/headers_carlisledevelopment.com_wp-admin.txt,99,2026-08-08 17:25:56,e27bd3ee60ae955338059ce9fdeaa8a7ed7ad2b39902357caf78dae59c2b2714,Install Pillow (pip install Pillow) for EXIF extraction
headers_cityofhuntingtonbeach.com_.txt,/data/data/com.termux/files/home/osintneoai/evidence/endpoint_captures/headers_cityofhuntingtonbeach.com_.txt,93,2026-08-08 17:25:56,b55e050af254adf15038eb5314529b4c3b1e309923411cbac7b0f07ea5c0d2c0,Install Pillow (pip install Pillow) for EXIF extraction
headers_cityofhuntingtonbeach.com_wp-admin.txt,/data/data/com.termux/files/home/osintneoai/evidence/endpoint_captures/headers_cityofhuntingtonbeach.com_wp-admin.txt,101,2026-08-08 17:25:56,7d70bfd45b9b9ee080b460310b3d1445a33cc10bbc3a6c2cd0b9cf36bd436cb7,Install Pillow (pip install Pillow) for EXIF extraction
